purchase,salary
55403,150248
44368,96504
26339,78943
48915,126144
69740,173262
2521,126781
11604,159646
39764,90959
94528,115757
755,61351
27330,157075
54384,169633
39385,128697
87391,179751
87419,119871
14272,77769
68046,57413
60700,77907
78305,119992
13887,143469
53049,199451
39996,131428
98540,110358
65625,86043
94025,197430
13076,167563
84385,77950
17841,86254
52880,129095
55603,141958
97078,166435
89412,139144
79411,64421
76024,102010
56425,99375
62810,146285
85690,109271
95750,71934
79782,138672
81871,156821
48023,172665
36331,164648
63696,100578
24441,178706
37210,109461
4208,136610
72709,154930
52719,144512
38587,173691
37368,125582
82241,193132
72679,189245
70664,177477
69660,178059
88876,187249
58368,157799
96429,92724
27677,56310
80845,198494
23551,124888
39177,86586
93200,145663
80791,57287
16423,127744
78739,102245
46063,85420
31221,168509
9462,163967
36191,193537
34613,131368
26935,57630
73874,175976
7030,140800
45935,96726
15489,87642
77963,98174
20284,95060
68791,61035
26189,95986
64831,76732
36391,115002
15284,73891
29601,136049
47906,121836
6756,148025
31197,141449
3616,91708
50665,100625
96933,67735
80451,83948
62524,177038
93478,116271
13629,133649
64951,117331
68960,87112
90944,145719
90519,98513
80013,131614
45688,146450
72952,86751
32169,127287
66975,65516
34706,121765
18283,146482
17686,136720
45568,182603
39936,148624
54431,174250
89301,155127
70441,101668
46125,139276
17636,60303
71503,99909
61487,134138
10980,165173
77484,166006
52081,137551
14026,141893
29299,141125
83607,185241
10454,55040
48035,137923
73450,79703
59905,120721
65385,182552
84005,110833
39922,177888
94652,112934
39668,135292
33045,78487
45999,148224
78950,134057
69031,113608
35126,57820
41240,183515
43586,68525
96168,73356
36257,160224
8469,61659
73879,69731
46844,179543
41852,112060
90613,62268
85155,180637
76905,76451
3233,64140
53742,137115
21862,82905
99994,172501
73634,123541
67406,182553
63198,141811
7800,192720
54046,117418
17420,114762
54678,187833
62994,131043
17757,64908
96641,66472
55058,86597
78291,190313
24158,180130
17068,96305
64399,165384
56468,104752
43131,62024
9657,73898
1707,139788
59355,182219
39010,89183
18688,65995
31555,115668
39464,199982
52173,188623
99301,80718
37939,155516
75556,97788
90208,75829
62898,80451
79874,130147
81717,124338
88760,105508
59757,132298
29013,59290
60902,172656
56153,161893
388,81869
23744,58776
44910,145311
18215,195762
89874,172144
78039,68560
97187,163732
74713,195312
13596,122072
64896,55901
29910,169396
77192,135594
57843,185002
97115,83607
88114,109807
15406,197735
43963,78272
99758,138371
8598,158575
25407,191549
24970,191556
98340,148338
40462,169648
50446,130438
1574,164383
15314,92307
84359,99597
33056,175837
70946,123059
30108,148961
3872,66380
22089,76384
29852,147580
86385,133757
86717,182745
60958,151209
98770,154994
27700,67953
87534,156983
26820,64608
56414,87572
5185,60043
20841,123722
67268,71192
66155,199787
57441,125356
54221,186334
63763,152056
98695,106228
92939,137290
26982,193048
58695,106707
64345,59545
17146,112459
80968,141046
84690,107204
17567,102233
45122,133905
94536,178696
24741,96491
25597,91148
53831,168793
26280,169635
67919,150455
71094,173286
61376,85055
76347,73990
32940,187140
62259,177596
36696,134394
91051,168782
77888,72192
99384,58933
89636,164145
48481,198834
5999,75297
12736,156863
87466,136842
98620,163291
49399,102204
73405,158335
30129,89735
13173,152119
34222,96884
58919,198472
9551,161906
55779,145279
99631,78143
93376,114547
25104,106086
34365,103826
24885,137504
43020,55402
90255,67271
38722,123260
26551,193743
51160,180682
36777,95241
57789,65761
54435,103314
46718,132366
37969,136316
54550,149473
80713,105135
57586,156243
95022,86929
83151,162776
63455,194759
35065,74772
45998,135874
53242,178639
69886,112770
35359,58195
51428,148431
25902,181996
98918,144509
4936,69956
423,123595
72429,176882
66543,59276
77321,196976
43863,72354
19980,68385
8594,58679
84564,153390
38804,174107
98539,100280
31349,80355
70109,190179
69651,148769
81580,159408
74506,129768
8480,128978
47138,192254
74440,146857
42209,122109
97703,94711
58989,147246
11282,144783
59973,174020
37111,187241
62357,76183
98657,165673
44514,184592
32248,62940
12297,137994
29474,115840
74786,61258
7985,167843
17985,128080
81871,175064
28097,64748
61701,173252
51790,178954
77683,192552
12544,59948
83132,114171
98471,74353
79366,85316
68445,150703
17021,193431
88140,59873
30047,62409
54689,175950
6098,165512
92059,60888
80804,172929
14492,168183
37014,164063
74368,75879
22045,58044
71256,169626
43045,113819
54684,194075
38856,137524
87661,184829
52173,176980
93481,129474
86613,135508
29304,70282
67362,89769
57409,74663
73975,73039
68694,145183
20264,146106
28293,77503
95834,198270
49271,148766
22961,102270
36952,176560
15036,59245
85649,79825
77720,179208
89245,90962
17093,124012
17918,176791
40754,148624
77740,147822
12964,139426
84205,113196
71056,172754
93504,187615
10014,92388
75918,177962
97339,69067
54090,117684
61645,85125
49812,179582
41039,69232
49001,88447
67249,158860
12540,112075
38162,190555
44703,190991
89272,104559
17151,185004
71396,189003
13432,175021
47243,163954
73490,195873
55048,85360
30163,146615
34012,180709
24840,148481
42100,110124
35438,98871
4750,100661
18415,100749
35210,159082
66804,140308
28740,171179
94158,140281
54879,165625
